#SUBENT      L0039017
#AUTHORS     A.Veyssiere, H.Beil, R.Bergere, P.Carlos, 
#+           A.Lepretre, A.DeMiniac
#REFERENCE   Nuclear Physics, Section A Vol.227, p.513
#YEAR        1974
#TITLE       A study of the photoneutron contribution to the giant
#+           dipole resonance of s-d shell nuclei.
#REACTION    13-AL-27(G,X)0-NN-1,,SIG
#QUANTITY    Cross section
#SUBP       L0039017 
: A.Lepretre, A.DeMiniac, 1974
#Ene,MeV     Sig,mb      dSig,mb
 13.34       0.1         0.1
 13.48       0.1         0.1
 13.61       0.2         0.1
 13.75       0.3         0.1
 13.88       0.2         0.1
 14.02       0.2         0.1
 14.15       0.4         0.1
 14.29       0.4         0.1
 14.42       0.5         0.1
 14.56       0.5         0.1
 14.7        0.3         0.1
 14.83       0.4         0.1
 14.97       0.7         0.1
 15.1        1.1         0.1
 15.24       1.7         0.1
 15.37       2           0.1
 15.51       2.5         0.1
 15.64       2.6         0.1
 15.78       2.9         0.1
 15.92       3.3         0.1
 16.05       4.3         0.1
 16.19       4.3         0.1
 16.32       4.8         0.1
 16.46       4.8         0.1
 16.59       4.7         0.1
 16.73       4.2         0.1
 16.86       5.1         0.1
 17          5.3         0.2
 17.13       4.7         0.2
 17.27       5.4         0.2
 17.41       7.2         0.2
 17.54       7.9         0.2
 17.68       8.7         0.2
 17.81       8.7         0.2
 17.95       9.4         0.2
 18.08       10.5        0.2
 18.22       10.5        0.2
 18.35       10.2        0.2
 18.49       10.2        0.2
 18.63       10.3        0.2
 18.76       10.4        0.2
 18.9        11.1        0.2
 19.03       11.4        0.2
 19.17       11.5        0.2
 19.3        11.6        0.2
 19.44       11.9        0.2
 19.57       12.6        0.2
 19.71       13.8        0.2
 19.84       14.3        0.2
 19.98       14.3        0.2
 20.12       13.6        0.2
 20.25       13.2        0.2
 20.39       13.4        0.2
 20.52       13          0.2
 20.66       13.4        0.3
 20.79       14.3        0.3
 20.93       14.5        0.3
 21.06       15.2        0.3
 21.2        15.8        0.3
 21.34       15.6        0.3
 21.47       15.4        0.3
 21.61       14.7        0.3
 21.74       14.1        0.3
 21.88       14.9        0.3
 22.01       14.8        0.3
 22.15       14.7        0.3
 22.28       14          0.3
 22.42       13.9        0.3
 22.55       13.5        0.3
 22.69       12.6        0.3
 22.83       13.2        0.3
 22.96       13.3        0.3
 23.1        13.2        0.3
 23.23       12.8        0.3
 23.37       12.7        0.3
 23.5        12.5        0.3
 23.64       12          0.3
 23.77       12          0.3
 23.91       11.8        0.3
 24.05       11.4        0.3
 24.18       10.9        0.3
 24.32       11          0.4
 24.45       11.1        0.4
 24.59       10.6        0.4
 24.72       10.3        0.4
 24.86       10.1        0.4
 24.99       10.4        0.4
 25.13       9.9         0.4
 25.26       10.2        0.4
 25.4        9.9         0.4
 25.67       9.6         0.4
 25.94       9.4         0.4
 26.21       9.5         0.4
 26.48       9.4         0.4
 26.76       9.1         0.6
 27.03       9.8         0.6
 27.3        8.8         0.6
 27.57       9.7         0.6
 27.84       8.8         0.6
 28.11       9.3         0.6
 28.65       8.8         0.6
 28.92       8           0.6
 29.19       7.6         0.6
 29.47       8.8         0.6
 29.74       9.9         0.6
 30.01       8.1         0.6
 30.28       6.6         0.6
#END
