#SUBENT      L0002002
#AUTHORS     S.C.Fultz, R.L.Bramblett, J.T.Caldwell, N.A.Kerr
#REFERENCE   Physical Review Vol.127, p.1273
#YEAR        1962
#TITLE       PHOTONEUTRON CROSS-SECTION MEASUREMENTS ON
#+           GOLD USING NEARLY MONOCHROMATIC PHOTONS
#REACTION    79-AU-197(G,X)0-NN-1,,SIG
#QUANTITY    Cross section
#SUBP       L0002002 
:Physical Review Vol.127, p.1273
#Ene,MeV     Sig,mb      dSig,mb
 8.724       23          6
 9.339       48          6
 9.646       59          6
 9.954       63          6
 10.261      86          7
 10.568      98          7
 10.876      116         7
 11.183      147         6
 11.49       193         15
 11.797      225         18
 12.105      305         25
 12.412      361         6
 12.719      442         34
 13.027      498         20
 13.334      518         26
 13.641      549         28
 13.949      524         21
 14.256      518         25
 14.563      470         27
 14.87       444         18
 15.178      455         36
 15.485      414         25
 15.792      437         37
 16.1        396         25
 16.407      374         24
 16.714      326         19
 17.022      315         16
 17.329      306         18
 17.636      277         25
 17.943      220         23
 18.558      225         32
 19.173      239         15
 19.48       230         31
 19.787      195         13
 20.095      150         41
 20.402      149         18
 20.709      162         28
 21.016      137         13
 21.324      135         29
 21.631      135         30
 22.246      81          24
 22.86       73          26
 23.168      77          28
 23.475      69          28
 24.089      89          24
 24.704      46          35
#END
