#SUBENT      M0240002
#AUTHORS     U.Kneissl, E.A.Koop, G.Kuhl, K.H.Leister, 
#+           A.Weller
#REFERENCE   Nuclear Instrum.and Methods in Physics Res. Vol.127, p.1
#YEAR        1975
#TITLE       The quasimonoenergetic photon facility at the Giessen
#+           65 MeV electron linear accelerator.
#REACTION    6-C-12(G,X)0-NN-1,,SIG
#QUANTITY    Cross section
#SUBP       M0240002 
#Ene,MeV     dEne,MeV    Sig,mb      dSig,mb
 19.1        0.191       0.2         0.2
 19.3        0.193       0.3         0.2
 19.7        0.197       0.3         0.2
 20.2        0.202       0.5         0.2
 20.4        0.204       1.2         0.2
 20.7        0.207       2.6         0.2
 20.8        0.208       2.3         0.2
 21.1        0.211       3.3         0.2
 21.3        0.213       4.1         0.2
 21.4        0.214       4.3         0.2
 21.6        0.216       5.5         0.2
 21.7        0.217       6.3         0.3
 21.8        0.218       6.9         0.2
 22          0.22        7.2         0.2
 22.1        0.221       7.6         0.2
 22.15       0.2215      7.8         0.2
 22.2        0.222       7.5         0.2
 22.25       0.2225      7.55        0.2
 22.3        0.223       7.84        0.2
 22.4        0.224       7.54        0.2
 22.6        0.226       7.9         0.3
 22.7        0.227       8.18        0.2
 22.8        0.228       8.3         0.2
 22.9        0.229       8.1         0.2
 23.1        0.231       8.1         0.2
 23.2        0.232       8.5         0.2
 23.5        0.235       8.7         0.2
 23.7        0.237       8.53        0.2
 23.8        0.238       7.75        0.2
 24          0.24        7.5         0.2
 24.2        0.242       6.8         0.2
 24.3        0.243       6.1         0.2
 24.4        0.244       5.5         0.2
 24.6        0.246       4.4         0.2
 24.8        0.248       4.9         0.2
 24.9        0.249       4.8         0.2
 25          0.25        4.5         0.2
 25.3        0.253       5           0.2
 25.4        0.254       5.3         0.2
 25.5        0.255       5.5         0.2
 25.6        0.256       5.3         0.2
 25.7        0.257       5           0.2
 25.8        0.258       4.8         0.2
 26          0.26        4.5         0.2
 26.1        0.261       4.7         0.2
 26.2        0.262       4.2         0.2
 26.4        0.264       4.6         0.2
 26.6        0.266       3.8         0.2
 26.8        0.268       3.6         0.2
 27          0.27        3.1         0.2
 27.1        0.271       3.1         0.2
 27.3        0.273       3           0.2
 27.4        0.274       3.2         0.2
 27.5        0.275       2.7         0.2
 27.8        0.278       3.2         0.2
 28          0.28        2.1         0.2
 28.1        0.281       3.2         0.2
 28.3        0.283       1.6         0.2
 28.7        0.287       2.1         0.2
 29          0.29        2.5         0.2
 29.7        0.297       2.8         0.2
 30.2        0.302       3.5         0.2
 30.4        0.304       2.8         0.2
 30.6        0.306       2.7         0.2
 31.1        0.311       2.6         0.2
 31.5        0.315       3           0.2
 31.7        0.317       2.3         0.2
 32.1        0.321       2.2         0.2
#END
