#SUBENT      L0035053
#AUTHORS     A.Lepretre, H.Beil, R.Bergere, P.Carlos, 
#+           A.Deminiac, A.Veyssiere
#REFERENCE   Nuclear Physics, Section A Vol.219, p.39
#YEAR        1974
#TITLE       A study of the giant dipole resonance of vibrational
#+           nuclei in the A=103-133 mass region
#REACTION    55-CS-133(G,X)0-NN-1,UNW,SIG
#QUANTITY    Unweighted production cross section
#SUBP       L0035053 
:Nuclear Physics, Section A Vol.219, p.39
#Ene,MeV     Sig,mb      dSig,mb
 9.18        23.5        2
 9.31        39.3        2.01
 9.45        31.2        2.02
 9.59        44.1        2.03
 9.72        44.8        2.04
 9.86        40.7        2.05
 9.99        49.4        2.05
 10.13       50.9        2.06
 10.27       53.1        2.07
 10.4        47.2        2.08
 10.54       49.7        2.09
 10.68       52.7        2.1
 10.81       61.1        2.11
 10.95       60.2        2.12
 11.08       59.2        2.13
 11.22       64          2.14
 11.36       65.7        2.15
 11.49       80.5        2.15
 11.63       82.5        2.16
 11.77       88.8        2.17
 11.9        91.3        2.18
 12.04       93.9        2.19
 12.17       114.1       2.2
 12.31       101.8       2.21
 12.45       116.6       2.22
 12.58       130.8       2.23
 12.72       128.6       2.24
 12.85       138         2.25
 12.99       158.6       2.25
 13.13       170         2.26
 13.26       182.7       2.27
 13.4        198.9       2.28
 13.54       209.1       2.29
 13.67       216         2.3
 13.81       241.4       2.31
 13.94       252.4       2.32
 14.08       257.2       2.33
 14.22       273.6       2.34
 14.35       298.1       2.35
 14.49       305.7       2.35
 14.63       291         2.36
 14.76       305.1       2.37
 14.9        313.4       2.38
 15.03       318.2       2.39
 15.17       312.9       2.4
 15.31       321.2       2.41
 15.44       314.9       2.42
 15.58       302.3       2.43
 15.71       304.7       2.44
 15.85       300.2       2.45
 15.99       296.7       2.45
 16.12       278.3       2.46
 16.26       264.6       2.47
 16.4        264.5       2.48
 16.53       259         2.49
 16.67       249.1       2.5
 16.8        240.7       2.51
 16.94       236.9       2.52
 17.08       241.9       2.53
 17.21       225.3       2.54
 17.35       223.8       2.55
 17.49       206.4       2.55
 17.62       191         2.56
 17.76       180.5       2.57
 17.89       185.5       2.58
 18.03       170.7       2.59
 18.17       168.3       2.6
 18.3        165.9       2.61
 18.44       157.8       2.62
 18.58       146.6       2.63
 18.71       151.3       2.64
 18.85       142.7       2.65
 18.98       126.6       2.65
 19.12       123.7       2.66
 19.26       116.1       2.67
 19.39       118.7       2.68
 19.53       111.2       2.69
 19.66       115.2       2.7
 19.8        105.5       2.71
 19.94       111.3       2.72
 20.07       107.8       2.73
 20.21       101.5       2.74
 20.35       100.4       2.75
 20.48       97.3        2.75
 20.62       83.5        2.76
 20.75       83.4        2.77
 20.89       91.1        2.78
 21.03       90.2        2.79
 21.16       81.6        2.8
 21.3        84.3        2.81
 21.44       83.4        2.82
 21.57       73.5        2.83
 21.71       55          2.84
 21.84       77          2.85
 21.98       74.8        2.85
 22.12       81.9        2.86
 22.25       73.2        2.87
 22.39       74.6        2.88
 22.52       74          2.89
 22.66       84          2.9
 22.8        76          2.91
 22.93       72.5        2.92
 23.07       64.4        2.93
 23.21       74.5        2.94
 23.34       68.4        2.95
 23.48       74.6        2.95
 23.61       70.6        2.96
 23.75       74.5        2.97
 23.89       53.1        2.98
 24.02       65.1        2.99
 24.16       59.3        3
#END
