#SUBENT      L0047004
#AUTHORS     J.G.Woodworth, K.G.Mcneill, J.W.Jury, R.A.Alvarez, 
#+           B.L.Berman, D.D.Faul, P.Meyer
#REFERENCE   Physical Review, Part C, Nuclear Physics Vol.19, p.1667
#YEAR        1979
#TITLE       Photoneutron cross sections for 18O.
#REACTION    8-O-18(G,X)0-NN-1,,SIG
#QUANTITY    Cross section
#SUBP       L0047004
: J.G.Woodworth, K.G.Mcneill.., 1979
#Ene,MeV     Sig,mb      dSig,mb
 8.351       0.07        0.05
 8.503       0.24        0.03
 8.596       0.33        0.06
 8.738       0.55        0.04
 8.842       0.84        0.07
 8.987       1.02        0.05
 9.087       1.15        0.09
 9.228       1.06        0.07
 9.333       1.44        0.1
 9.473       1.71        0.08
 9.579       2.37        0.12
 9.721       2.99        0.1
 9.824       4.17        0.1
 9.991       3.97        0.17
 10.071      4.84        0.16
 10.212      4.76        0.12
 10.316      5.26        0.17
 10.473      4.84        0.13
 10.587      4           0.16
 10.718      2.69        0.12
 10.832      1.88        0.15
 10.965      2.29        0.12
 10.998      2.16        0.16
 11.078      3.31        0.17
 11.127      3.99        0.17
 11.213      6.46        0.13
 11.249      7.52        0.13
 11.323      8.11        0.2
 11.373      8.52        0.19
 11.453      9.01        0.17
 11.496      8.69        0.19
 11.57       8.44        0.2
 11.618      6.91        0.13
 11.698      6.53        0.16
 11.815      4.85        0.17
 11.864      4.48        0.17
 11.945      3.76        0.15
 12.06       2.4         0.16
 12.11       1.71        0.17
 12.198      1.93        0.12
 12.307      1.29        0.16
 12.355      1.9         0.18
 12.441      2.32        0.14
 12.552      2.81        0.17
 12.595      3.42        0.13
 12.719      3.78        0.15
 12.847      5.58        0.19
 12.97       7.3         0.19
 13.089      8.64        0.16
 13.216      8.35        0.21
 13.339      5.78        0.2
 13.457      5.38        0.16
 13.582      5.76        0.16
 13.704      6.84        0.16
 13.83       6.93        0.21
 13.953      6.25        0.21
 14.073      5.72        0.17
 14.199      5.76        0.22
 14.322      6.53        0.23
 14.444      8.21        0.23
 14.567      10.58       0.25
 14.688      12.67       0.22
 14.813      13.13       0.26
 14.936      10.81       0.25
 15.059      8.83        0.24
 15.18       7.19        0.21
 15.305      6.4         0.23
 15.428      6.19        0.24
 15.547      8.84        0.21
 15.673      10.12       0.26
 15.796      10.91       0.27
 15.917      10.34       0.23
 16.042      9.37        0.27
 16.164      8.54        0.29
 16.287      9.11        0.31
 16.41       9.59        0.33
 16.533      9.59        0.32
 16.656      9.74        0.32
 16.779      9.55        0.32
 16.901      9.63        0.36
 17.025      9.51        0.39
 17.149      10.07       0.33
 17.271      9.8         0.44
 17.393      9.93        0.46
 17.517      8.87        0.49
 17.64       9.14        0.45
 17.763      9.08        0.42
 17.886      8.81        0.38
 18.008      8.89        0.24
 18.133      9.1         0.3
 18.255      9.06        0.38
 18.378      8.88        0.37
 18.501      9.3         0.38
 18.623      9.45        0.37
 18.747      8.86        0.37
 18.87       9.68        0.37
 18.992      9.25        0.37
 19.118      10.01       0.31
 19.238      9.52        0.4
 19.359      9.35        0.42
 19.486      9.38        0.36
 19.607      8.87        0.44
 19.73       9.14        0.44
 19.851      8.76        0.44
 19.975      8.52        0.43
 20.103      8.67        0.31
 20.22       8.21        0.45
 20.346      8.61        0.38
 20.466      7.77        0.46
 20.592      8.44        0.4
 20.712      8.78        0.5
 20.838      9.07        0.41
 20.958      9.44        0.51
 21.084      9.7         0.42
 21.204      9.73        0.51
 21.33       9.49        0.41
 21.449      9.07        0.5
 21.581      9.06        0.35
 21.698      9.27        0.49
 21.828      9.55        0.31
 21.944      9.67        0.51
 22.075      10.1        0.34
 22.189      10.41       0.55
 22.319      12.04       0.42
 22.435      12.49       0.6
 22.568      13.36       0.36
 22.684      13.02       0.59
 22.815      14.51       0.38
 22.927      13.34       0.58
 23.061      14.82       0.41
 23.173      15.74       0.65
 23.303      16.37       0.51
 23.426      17.54       0.52
 23.543      16.57       0.73
 23.673      17.74       0.53
 23.789      15.56       0.74
 23.92       15.77       0.55
 24.035      14.24       0.76
 24.165      14.43       0.55
 24.28       12.76       0.72
 24.412      12.49       0.55
 24.527      11.3        0.74
 24.657      11.24       0.56
 24.768      10.96       0.76
 24.942      12.63       0.84
 25.03       11.19       0.79
 25.278      12.24       0.5
 25.51       11.56       0.85
 25.765      12.74       0.65
 26.002      12.13       0.9
 26.259      11.84       0.66
 26.496      11.69       0.93
 26.754      11.64       0.7
 26.987      12.19       0.94
 27.246      11.48       0.68
 27.477      11.19       0.87
 27.738      10.94       0.67
 27.97       10.07       0.89
 28.232      10.99       0.68
 28.462      10.95       0.91
 28.724      11.06       0.66
 28.952      10.57       0.85
 29.213      10.79       0.71
 29.444      10.75       0.93
 29.707      10.21       0.71
 29.938      11.2        0.9
 30.202      10.01       0.66
 30.432      11.04       0.85
 30.693      10.64       0.68
 30.945      9.84        0.67
 31.713      8.58        0.96
 32.453      8.66        1.11
 33.195      7.15        1.09
 33.935      6.49        1.15
 34.675      8.26        1.23
 35.416      6.59        1.17
 36.156      6.89        1.39
 36.897      6.22        1.17
 37.638      6.42        1.2
 38.378      5.27        1.22
 39.118      4.78        1.39
 40.353      5.25        1.43
 41.093      5           1.48
 41.834      5.09        1.51
#END
