#SUBENT      L0046004
#AUTHORS     B.L.Berman, D.D.Faul, R.A.Alvarez, P.Meyer, 
#+           D.L.Olson
#REFERENCE   Physical Review, Part C, Nuclear Physics Vol.19, p.1205
#YEAR        1979
#TITLE       Giant resonance in transitional nuclei: photoneutron
#+           cross sections for osmium isotopes.
#REACTION    76-OS-186(G,X)0-NN-1,,SIG
#QUANTITY    Cross section
#SUBP       L0046004
:Physical Review, Part C, Nuclear Physics Vol.19, p.1205
#Ene,MeV     Sig,mb      dSig,mb
 11.114      122.31      11.75
 11.358      169.61      12
 11.603      206.56      11.87
 11.847      227.51      12.53
 12.092      285.76      13.17
 12.336      329.91      10.35
 12.58       363.16      14.25
 12.825      378.62      11.09
 13.069      401.11      13.9
 13.314      412.09      13.81
 13.558      412.61      10.66
 13.802      425.08      13.49
 14.047      426.45      10.74
 14.291      436.01      14.54
 14.536      392.93      11.35
 14.78       422.1       15.26
 15.024      439.56      16.13
 15.269      427.25      16.12
 15.391      431.62      22.76
 15.513      412.47      13.13
 15.758      435.61      14.84
 15.88       450.96      24.63
 16.002      445.24      20.88
 16.246      424.95      14.97
 16.369      398.2       22.24
 16.491      405.1       20.69
 16.613      370.36      24.44
 16.735      371.91      15.27
 16.857      365.1       24.67
 16.98       336.48      22.68
 17.102      315.82      25.37
 17.224      331.81      16.03
 17.346      281.61      23.78
 17.468      315.95      21.11
 17.713      284.89      21.19
 17.957      257.14      21.43
 18.202      215.63      21.07
 18.324      203.95      23.51
 18.446      196.17      21.38
 18.69       199.15      20.98
 18.935      164.44      21.96
 19.179      177.08      23.19
 19.424      179.57      23.11
 19.546      130.46      25.53
 19.668      160.92      22.15
#END
