#SUBENT      M0745002
#AUTHORS     Yu.I.Sorokin, B.A.Yur`ev
#REFERENCE   Yadernaya Fizika Vol.20, p.233
#YEAR        1974
#TITLE       Photoneutron cross sections  for  112Sn,  118Sn,  and
#+           120Sn.
#REACTION    50-SN-112(G,X)0-NN-1,,SIG,,BRS
#QUANTITY    Cross section
#SUBP       M0745002 
:Yadernaya Fizika Vol.20, p.233
#Ene,MeV     Sig,mb      dSig,mb
 10.9        17.79       7.42
 11          37.12       8
 11.1        35.06       8.92
 11.2        46.02       8.91
 11.3        56.45       7.44
 11.4        60.86       8.5
 11.5        43.06       7.28
 11.6        63.82       6.66
 11.7        54.25       8.37
 11.8        75.78       10.38
 11.9        71.08       8.7
 12          62.38       7.15
 12.1        82.49       8.65
 12.2        81.64       8.89
 12.3        74.23       7.39
 12.4        89.19       8.57
 12.5        89.12       8.88
 12.6        75.73       8.78
 12.7        112.48      10.38
 12.8        101         9.29
 12.9        120         11.59
 13          114.35      11
 13.1        112.04      12.18
 13.2        145.49      10.53
 13.3        130.69      11.68
 13.4        147         13.38
 13.5        139.64      12.49
 13.6        172.26      11.83
 13.7        165.46      12.17
 13.8        148.66      12.73
 13.9        176.74      11.67
 14          201.89      13.19
 14.1        200         11.74
 14.2        185.61      13.35
 14.3        200.04      14.07
 14.4        210.87      15.41
 14.5        201         14.85
 14.6        197.4       16.69
 14.7        201         16.34
 14.8        265.73      23
 14.9        249.52      17.62
 15          250.93      18.87
 15.1        265.79      16.35
 15.2        249         13.37
 15.3        265.84      16.37
 15.4        229.82      20.78
 15.5        268.83      19.14
 15.6        268         19.24
 15.7        264.31      17.87
 15.8        267.35      18.43
 15.9        295.94      19.28
 16          289         19.62
 16.1        234.65      16.43
 16.2        249.51      15.48
 16.3        233.18      17.82
 16.4        251.14      15.25
 16.5        240         16.48
 16.6        240.1       18.58
 16.7        183         17.82
 16.8        207.29      19.3
 16.9        213.86      19.81
 17          188.62      18.61
 17.1        184.89      18
 17.2        210.92      20.08
 17.3        191.49      17.69
 17.4        178.26      21.24
 17.5        220.19      20.63
 17.6        162         24.32
 17.7        193.08      21.35
 17.8        198         24.31
 17.9        157.21      31.32
 18          141.83      25.25
 18.1        206.43      28.16
 18.2        161.86      26.72
 18.3        170.77      28.23
 18.4        188.61      26.72
 18.5        160.33      25.54
 18.6        163.38      23.73
 18.7        181.05      31.18
 18.8        141         28.24
 18.9        170.73      31.23
 19          164.85      19.35
 19.1        121.62      16.42
 19.2        167.17      20
 19.3        108.76      19.35
 19.4        156         19.32
 19.5        99          19.9
 19.6        117.36      19.45
 19.7        68.34       22.29
 19.8        158.92      20.76
 19.9        130.72      20.64
 20          102.46      20.79
 20.1        105.51      22.29
 20.2        140.06      19.76
 20.3        133.62      20.8
 20.4        114.28      23.67
 20.5        102.46      20.78
 20.6        63.59       22.29
 20.7        129         20.38
 20.8        100.79      22.15
 20.9        96.28       23.71
 21          164.73      25.29
 21.1        104.35      22.29
 21.2        122.16      25.26
 21.3        151.39      22.36
 21.4        80.37       23.68
 21.5        163.76      23.8
 21.6        142.57      24
 21.7        145.22      23.93
 21.8        105.45      23.72
 21.9        139.69      24.24
 22          108.42      25.18
 22.1        135.14      23.91
 22.2        154.47      22.39
 22.3        83.17       26.68
 22.4        47.48       28.21
 22.5        134.37      22.21
 22.6        117.31      24.04
 22.7        72.21       25.25
 22.8        115.86      25.23
 22.9        100.19      22.15
 23          48.83       23
 23.1        52.73       23.45
 23.2        93.57       22.36
 23.3        62.14       25.21
 23.4        104         21.26
 23.5        36.48       24.03
 23.6        114.27      22.26
 23.7        101         25.27
 23.8        77.43       23.76
 23.9        65.39       25.17
 24          77.22       23.32
 24.1        87          23.8
 24.2        121.69      23.37
 24.3        155.19      24.29
 24.4        95.03       28.26
 24.5        95.69       25.32
 24.6        142.77      26.69
 24.7        71.26       28
 24.8        139.56      25.84
 24.9        66.86       25.28
 25          102         24.26
 25.1        108.75      24.84
 25.2        71.07       24.24
 25.3        74.25       25
 25.4        98.02       29.6
 25.5        101         29.37
 25.6        65.35       29.7
 25.7        77          25.23
 25.8        75.79       25.48
 25.9        80.21       26.64
 26          106.96      25.26
 26.1        92          28.19
 26.2        47.51       28.54
 26.3        77.22       26.35
 26.4        112.87      28.52
 26.5        83.17       27
 26.6        150         28.19
 26.7        136.65      28
 26.8        80.17       26.73
 26.9        98.1        24.63
 27          75.5        28.21
 27.1        64.49       27.62
 27.2        95.05       28.22
 27.3        52.6        27
 27.4        110         26.73
 27.5        150.74      28.21
#END
