#SUBENT      M0746003
#AUTHORS     Yu.I.Sorokin, B.A.Yuryev
#REFERENCE   Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.39, p.114
#YEAR        1975
#TITLE       Isotopic effects for photonuclear reactions on nuclei
#+           with A > 100.
#REACTION    50-SN-116(G,X)0-NN-1,,SIG,,BRS
#QUANTITY    Cross section
#SUBP       M0746003 
:Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.39, p.114
#Ene,MeV     Sig,mb      dSig,mb
 8.7         1.16        1.15
 8.8         2           2
 8.9         5           2
 9           5.76        2
 9.1         6.92        2.3
 9.2         7.77        2.3
 9.3         9.52        2.3
 9.4         8.65        2.3
 9.5         11.25       2.4
 9.6         11.54       2.4
 9.7         12.62       2.4
 9.8         11.58       2.5
 9.9         15.19       2.55
 10          15          2.54
 10.1        16.17       2.56
 10.2        17.84       2.62
 10.3        20.76       2.66
 10.4        19.17       2.67
 10.5        22.09       2.61
 10.6        23.05       2.51
 10.7        25.62       3.21
 10.8        28.49       3.27
 10.9        29.15       3.46
 11          32          3.71
 11.1        32.56       3.52
 11.2        36.12       3.71
 11.3        38.45       4
 11.4        41.36       3.8
 11.5        46.16       4.6
 11.6        46.42       4.46
 11.7        51.95       5.47
 11.8        52.38       4.8
 11.9        41.83       4.37
 12          41.93       3.75
 12.1        44.79       3.45
 12.2        69.24       4.59
 12.3        75          5.49
 12.4        75.72       5.57
 12.5        89          4
 12.6        89.13       4.38
 12.7        92.08       4.08
 12.8        98.07       5.79
 12.9        106.02      5.84
 13          109.65      4.45
 13.1        118.54      5.52
 13.2        120.69      5.73
 13.3        135.19      5.68
 13.4        131.08      5.88
 13.5        155.74      8.25
 13.6        150         5.83
 13.7        170.16      8.37
 13.8        161.56      7.23
 13.9        178.84      7.5
 14          175.96      5.83
 14.1        187.52      7.54
 14.2        195.81      6.65
 14.3        192.24      5.97
 14.4        213.47      8.31
 14.5        204.57      7.5
 14.6        219.23      7.69
 14.7        220         7.64
 14.8        234.23      7
 14.9        230.08      7
 15          238.88      7.57
 15.1        250.55      8.5
 15.2        253.85      8
 15.3        239.48      6.87
 15.4        242.32      8.58
 15.5        243.63      9.24
 15.6        256.88      8.64
 15.7        253.81      8.57
 15.8        248         8.43
 15.9        248.09      8.48
 16          262.74      8.62
 16.1        251.19      8.63
 16.2        245.88      8.78
 16.3        233.8       8.68
 16.4        236.54      8.35
 16.5        248         9.88
 16.6        219.38      11.48
 16.7        225         11.52
 16.8        219.19      10.71
 16.9        215.65      10.1
 17          209.74      8.61
 17.1        213.49      11.46
 17.2        210.72      12.13
 17.3        219.29      10.89
 17.4        201.96      11.57
 17.5        173.29      12.13
 17.6        210.54      13.52
 17.7        172.68      11.45
 17.8        216.34      11.51
 17.9        187.43      14.42
 18          219.23      12.45
 18.1        180.62      12.26
 18.2        209.76      14
 18.3        183.05      14.3
 18.4        224.5       14.42
 18.5        182.43      14.44
 18.6        187.48      14.43
 18.7        178.85      14.55
 18.8        216.34      15
 18.9        173.03      14.63
 19          201.95      15.55
 19.1        202.72      15
 19.2        158.47      15.51
 19.3        178.86      16.15
 19.4        155.75      15.82
 19.5        156.76      14.5
 19.6        190.36      14.75
 19.7        154.94      15.09
 19.8        167.82      12.16
 19.9        177.72      13.94
 20          167.26      11.65
 20.1        145.71      16.29
 20.2        138.46      16.86
 20.3        155.72      15.7
 20.4        141.58      16.77
 20.5        147.23      16.18
 20.6        158.44      16.19
 20.7        132.59      17.3
 20.8        132.69      15.95
 20.9        167.28      16.81
 21          135.73      15.59
 21.1        132.65      15.59
 21.2        166.66      15
 21.3        184.69      17.36
 21.4        164.47      17.28
 21.5        147.36      17.88
 21.6        147.17      17.23
 21.7        127.02      19
 21.8        118.25      16.32
 21.9        94.39       17.48
 22          109.15      19
 22.1        113.01      18.17
 22.2        98.07       20.39
 22.3        132.67      18.78
 22.4        161.58      17.88
 22.5        99.07       17.9
 22.6        138.08      17.41
 22.7        119.41      19.05
 22.8        121.86      18.73
 22.9        147.09      19.45
 23          138.43      17.41
 23.1        161.53      19.55
 23.2        167.19      16.86
 23.3        106.74      19.61
 23.4        121.17      19.76
 23.5        117.8       19.22
 23.6        80.77       20.16
 23.7        121.13      20.37
 23.8        126.93      20
 23.9        132.69      20.37
 24          158.52      20.2
 24.1        126.94      20.18
 24.2        100.96      21.37
 24.3        83.29       20.77
 24.4        83.39       20
 24.5        126.4       21
 24.6        147.37      21.69
 24.7        100.96      22.71
 24.8        92.26       20.74
 24.9        98.06       22.18
 25          116.54      20
 25.1        103.85      19.04
 25.2        100.27      18.44
 25.3        70.41       16.73
 25.4        89.39       19.27
 25.5        100.95      14.45
 25.6        96.73       16.23
 25.7        118.29      16.78
 25.8        89.13       16.14
 25.9        92          17
 26          86.59       13.29
 26.1        92.31       13.24
 26.2        112.38      13.35
 26.3        106.73      15.82
 26.4        120         15
 26.5        109.6       14.42
 26.6        83.31       16.95
 26.7        136.86      17.3
 26.8        109.64      17.5
 26.9        115.42      16.18
 27          158.62      17.48
#END
