#SUBENT      L0035026
#AUTHORS     A.Lepretre, H.Beil, R.Bergere, P.Carlos, 
#+           A.Deminiac, A.Veyssiere
#REFERENCE   Nuclear Physics, Section A Vol.219, p.39
#YEAR        1974
#TITLE       A study of the giant dipole resonance of vibrational
#+           nuclei in the A=103-133 mass region
#REACTION    50-SN-120(G,X)0-NN-1,,SIG
#QUANTITY    Cross section
#SUBP       L0035026 
:A.Lepretre, H.Beil.., 1974
#Ene,MeV     Sig,mb      dSig,mb
 9.04        2.5         4
 9.18        12.3        4.01
 9.31        14.2        4.02
 9.45        29.3        4.03
 9.59        22.9        4.04
 9.72        18.6        4.05
 9.86        27.6        4.06
 9.99        27          4.07
 10.13       20.6        4.08
 10.27       31.3        4.09
 10.4        34.4        4.1
 10.54       28.4        4.11
 10.68       32.7        4.13
 10.81       38.2        4.14
 10.95       39.2        4.15
 11.08       41.3        4.16
 11.22       55.7        4.17
 11.36       53.7        4.18
 11.49       61.7        4.19
 11.63       63.7        4.2
 11.77       70.8        4.21
 11.9        76.4        4.22
 12.04       82.3        4.23
 12.17       87.9        4.24
 12.31       92.8        4.25
 12.45       96.4        4.26
 12.58       102         4.27
 12.72       114.7       4.28
 12.85       126.1       4.29
 12.99       128.6       4.3
 13.13       141.9       4.31
 13.26       148.6       4.32
 13.4        162.7       4.33
 13.54       175.1       4.34
 13.67       182.2       4.35
 13.81       199.3       4.36
 13.94       216.4       4.38
 14.08       220.7       4.39
 14.22       237.7       4.4
 14.35       256.4       4.41
 14.49       261.5       4.42
 14.63       262.9       4.43
 14.76       272.3       4.44
 14.9        287.4       4.45
 15.03       285.6       4.46
 15.17       283.6       4.47
 15.31       281.9       4.48
 15.44       285.5       5.4
 15.58       275         5.43
 15.71       276.9       5.46
 15.85       281.2       5.49
 15.99       281.2       5.52
 16.12       278.9       5.55
 16.26       288.9       5.59
 16.4        288.9       5.62
 16.53       279.1       5.65
 16.67       280.2       5.69
 16.8        270         5.72
 16.94       273.8       5.75
 17.08       277.1       5.78
 17.21       273.4       5.82
 17.35       263.5       5.85
 17.49       262.7       5.89
 17.62       250.4       5.92
 17.76       239.9       5.95
 17.89       242.6       5.99
 18.03       241         6.02
 18.17       233.8       6.06
 18.3        226.8       6.09
 18.44       227.3       6.12
 18.58       212         6.16
 18.71       202.9       6.19
 18.85       195.8       6.22
 18.98       187.1       6.26
 19.12       191.5       6.29
 19.26       189.2       6.32
 19.39       184.8       6.36
 19.53       176.6       6.39
 19.66       159.5       6.43
 19.8        171.4       6.47
 19.94       162.4       6.5
 20.07       156.5       6.53
 20.21       167         6.57
 20.35       147.1       6.6
 20.48       143.7       6.65
 20.62       148.2       6.68
 20.75       137.4       6.71
 20.89       137.8       6.75
 21.03       121.5       6.78
 21.16       124         6.82
 21.3        136.7       6.86
 21.44       121.6       6.9
 21.57       130.4       6.93
 21.71       119.3       6.97
 21.84       120.4       7
 22.12       109         7.04
 22.39       99.2        7.07
#END
