#SUBENT      M0643002
#AUTHORS     B.S.Ishkhanov, I.M.Kapitonov, E.V.Lazutin, I.M.Piskarev, 
#+           O.P.Shevchenko
#REFERENCE   Yadernaya Fizika Vol.20, p.433
#YEAR        1974
#TITLE       Photoneutron cross sections for 64Zn and 68Zn in  the
#+           Giant Dipole Resonance region.
#REACTION    30-ZN-64(G,X)0-NN-1,,SIG,,BRS
#QUANTITY    Cross section
#SUBP       M0643002 
:Yadernaya Fizika Vol.20, p.433
#Ene,MeV     Sig,mb      dSig,mb
 12.05       5.7         2.17
 12.1        16.22       2.65
 12.15       23.57       2.21
 12.2        33.94       2.37
 12.25       43.41       2.29
 12.3        28.07       2.13
 12.35       26.51       2.33
 12.4        20          2.09
 12.45       16.55       2.33
 12.5        18.76       2.13
 12.55       16.79       2.09
 12.6        19.72       2.37
 12.65       18.92       2.05
 12.7        15.66       2.49
 12.75       11          2.49
 12.8        8.31        2.61
 12.85       9.52        2.53
 12.9        17.55       2.53
 12.95       28.19       2.41
 13          37.99       2.41
 13.05       40.32       2.73
 13.1        39.96       2.65
 13.15       29.07       2.69
 13.2        18.22       2.69
 13.25       9.47        2.65
 13.3        8.51        2.5
 13.35       14.42       2.61
 13.4        20.2        2.77
 13.45       27.17       2.77
 13.5        34.42       2.73
 13.55       35.45       2.89
 13.6        35.49       2.69
 13.65       33.9        2.77
 13.7        27.45       2.26
 13.75       27.25       2.69
 13.8        29.03       2.73
 13.85       27.05       2.34
 13.9        31.8        2.5
 13.95       30.14       2.42
 14          31.68       2.61
 14.05       36.61       2.7
 14.1        40.62       3.35
 14.15       46.49       2.89
 14.2        46.68       2.89
 14.25       42.76       2.89
 14.3        41.09       2.7
 14.35       35.12       2.7
 14.4        30.75       3.17
 14.45       34.38       2.52
 14.5        31.12       2.61
 14.55       29.63       3.35
 14.6        35.5        2.7
 14.65       32.8        2.61
 14.7        42.76       3.63
 14.75       48.63       3.35
 14.8        52.2        3.73
 14.85       67.95       3.63
 14.9        72.24       3.45
 14.95       66.38       4.01
 15          64.39       5.31
 15.05       53.15       5.11
 15.1        49.23       5.14
 15.15       50.88       6.53
 15.2        48.11       6
 15.25       50.62       5.74
 15.3        54.84       5.47
 15.35       60.18       5.14
 15.4        65.45       4.62
 15.45       71.71       4.81
 15.5        78.31       4.15
 15.55       80.29       4.42
 15.6        84.23       4.13
 15.65       86.15       4.75
 15.7        90.97       5.08
 15.75       92.13       4.01
 15.8        90.07       4.28
 15.85       85.88       5.02
 15.9        82.95       4.82
 15.95       80.09       4.68
 16          77.26       4.95
 16.05       81.87       4.62
 16.1        85.86       4.85
 16.15       84.32       4.85
 16.2        86.19       4.25
 16.25       87.59       4.45
 16.3        85.93       4.05
 16.35       88.08       4.05
 16.4        83.96       4.65
 16.45       81.97       5.04
 16.5        80.39       4.25
 16.55       76.67       4.31
 16.6        71.95       4.38
 16.65       69.61       4.38
 16.7        66.69       5.51
 16.75       66.06       4.91
 16.8        64.16       5.04
 16.85       65.85       4.71
 16.9        65.23       4.71
 16.95       65.22       5.11
 17          68.96       5.11
 17.05       72.08       4.71
 17.1        78.07       4.1
 17.15       80          5.42
 17.2        79.05       4.96
 17.25       79.85       5.48
 17.3        79.89       5.14
 17.35       82.16       5.02
 17.4        80.84       5.55
 17.45       82.09       5.35
 17.5        86.85       4.96
 17.55       89.82       5.29
 17.6        90.75       5.81
 17.65       86.39       4.89
 17.7        88.11       4.89
 17.75       83.08       5.68
 17.8        87.18       5.15
 17.85       92.4        5.35
